,Round,Seed,Opp_1,Opp_2,Opp_3,Opp_4,Opp_5,Opp_6,Final Rd,Team,Conf,W,AdjO,AdjD,AdjT,Luck,OppO,OppD,Non-Conf SOS,Year
522,1,6,Washington,,,,,,Upset,Marquette,BE,22.0,115.1,95.5,62.3,-0.064,108.0,98.9,-6.52,2010
523,3,11,Xavier,Syracuse,North Carolina,,,,No Upset,Marquette,BE,22.0,115.5,97.3,66.2,-0.058,109.4,98.4,-5.91,2011
524,3,3,BYU,Murray State,Florida,,,,Upset,Marquette,BE,27.0,111.5,91.3,70.0,0.042,106.6,98.3,-0.95,2012
525,4,3,Davidson,Butler,Miami (FL),Syracuse,,,Upset,Marquette,BE,26.0,113.2,94.9,63.3,0.09,105.9,96.6,-1.14,2013
526,1,10,South Carolina,,,,,,No Upset,Marquette,BE,19.0,120.8,104.2,70.1,-0.058,109.1,100.1,-2.16,2017
527,1,5,Murray State,,,,,,Upset,Marquette,BE,24.0,113.2,96.7,68.8,0.01,107.4,100.7,0.29,2019
528,1,9,North Carolina,,,,,,No Upset,Marquette,BE,19.0,109.2,96.2,70.9,0.021,107.3,97.8,4.04,2022
529,2,13,Wichita State,West Virginia,,,,,No Upset,Marshall,CUSA,25.0,109.4,102.9,74.7,0.06,105.6,105.5,-7.0,2018
530,7,1,Siena,Wisconsin,Kentucky,Connecticut,Kansas,Indiana,Upset,Maryland,ACC,32.0,119.2,89.9,73.7,0.025,109.1,99.3,1.62,2002
531,3,6,UNC Wilmington,Xavier,Michigan State,,,,Upset,Maryland,ACC,21.0,110.9,88.9,71.5,-0.078,106.6,98.4,-5.29,2003
532,2,4,UTEP,Syracuse,,,,,Upset,Maryland,ACC,20.0,110.9,91.1,71.1,-0.009,112.1,98.0,-1.13,2004
533,2,4,Davidson,Butler,,,,,Upset,Maryland,ACC,25.0,112.4,90.0,71.4,-0.027,108.9,100.4,-3.07,2007
534,2,10,California,Memphis,,,,,No Upset,Maryland,ACC,21.0,110.0,96.4,66.3,0.039,108.3,98.7,-3.29,2009
535,2,4,Houston,Michigan State,,,,,Upset,Maryland,ACC,24.0,118.3,95.9,68.7,-0.023,106.7,97.8,-4.35,2010
536,2,4,Valparaiso,West Virginia,,,,,Upset,Maryland,B10,28.0,111.3,95.7,63.9,0.127,108.3,101.1,-3.33,2015
537,3,5,South Dakota State,Hawaii,Kansas,,,,No Upset,Maryland,B10,27.0,116.2,95.9,67.4,0.016,109.2,100.6,-1.86,2016
538,1,6,Xavier,,,,,,Upset,Maryland,B10,24.0,113.1,98.7,67.2,0.061,108.3,100.6,-1.1,2017
539,2,6,Belmont,LSU,,,,,No Upset,Maryland,B10,23.0,113.4,94.1,66.0,-0.004,109.8,99.1,-4.92,2019
540,2,10,Connecticut,Alabama,,,,,No Upset,Maryland,B10,17.0,111.8,94.1,64.7,-0.024,110.2,93.1,-1.11,2021
541,1,6,Tennessee,,,,,,Upset,Massachusetts,A10,24.0,110.0,96.5,70.3,0.065,108.0,100.6,5.53,2014
542,1,14,Mississippi State,,,,,,No Upset,McNeese St.,Slnd,20.0,103.2,97.8,66.2,0.023,99.6,104.2,12.81,2002
543,1,7,Arizona State,,,,,,Upset,Memphis,CUSA,23.0,110.9,94.1,68.3,0.005,103.4,98.6,3.33,2003
544,2,7,South Carolina,Oklahoma State,,,,,No Upset,Memphis,CUSA,22.0,111.8,95.6,66.6,0.012,105.7,100.2,1.83,2004
545,4,1,Oral Roberts,Bucknell,Bradley,UCLA,,,Upset,Memphis,CUSA,33.0,113.2,89.6,70.8,-0.007,103.9,100.0,7.82,2006
546,4,2,North Texas,Nevada,Texas A&M,Ohio State,,,No Upset,Memphis,CUSA,33.0,115.4,90.6,68.4,0.03,105.3,102.4,3.41,2007
547,6,1,UT Arlington,Mississippi State,Michigan State,Texas,UCLA,Kansas,No Upset,Memphis,CUSA,38.0,118.0,86.5,68.1,0.012,107.0,101.1,5.45,2008
548,3,2,Cal State Northridge,Maryland,Missouri,,,,Upset,Memphis,CUSA,33.0,112.8,84.2,65.9,-0.009,105.5,100.8,4.19,2009
549,1,12,Arizona,,,,,,No Upset,Memphis,CUSA,25.0,104.5,97.6,67.6,0.117,104.8,102.7,-4.74,2011
550,1,8,Saint Louis,,,,,,Upset,Memphis,CUSA,26.0,114.2,92.3,67.5,-0.064,104.9,99.8,6.96,2012
551,2,6,Saint Mary's (CA),Michigan State,,,,,No Upset,Memphis,CUSA,31.0,107.3,91.0,68.3,0.056,104.8,102.9,0.43,2013
552,2,8,George Washington,Virginia,,,,,No Upset,Memphis,Amer,24.0,112.4,97.1,67.5,0.048,108.3,101.1,0.02,2014
553,2,9,Boise State,Gonzaga,,,,,No Upset,Memphis,Amer,22.0,111.2,94.0,69.9,-0.028,106.4,99.0,4.46,2022
554,2,14,Duke,Tennessee,,,,,No Upset,Mercer,ASun,27.0,110.8,102.4,63.6,0.022,103.6,108.0,4.65,2014
555,1,5,Missouri,,,,,,Upset,Miami FL,BE,24.0,110.5,94.7,69.1,0.017,105.0,99.3,-5.03,2002
556,2,7,Saint Mary's (CA),Texas,,,,,No Upset,Miami FL,ACC,23.0,112.5,97.1,65.8,-0.003,106.7,98.9,-5.55,2008
557,3,2,Pacific,Illinois,Marquette,,,,Upset,Miami FL,ACC,29.0,113.6,91.3,61.9,0.028,107.7,99.3,4.96,2013
558,3,3,Buffalo,Wichita State,Villanova,,,,No Upset,Miami FL,ACC,27.0,119.4,96.9,65.9,0.077,111.6,99.9,2.63,2016
559,1,8,Michigan State,,,,,,Upset,Miami FL,ACC,21.0,109.9,94.9,63.0,0.031,110.7,101.3,-4.48,2017
560,1,6,Loyola (IL),,,,,,Upset,Miami FL,ACC,22.0,112.9,97.4,67.0,0.017,109.1,101.0,-3.82,2018
561,4,10,USC,Auburn,Iowa State,Kansas,,,No Upset,Miami FL,ACC,26.0,113.9,99.1,67.7,0.088,107.5,98.8,0.38,2022
562,1,14,Oregon,,,,,,No Upset,Miami OH,MAC,18.0,105.7,97.4,58.1,-0.024,106.2,102.1,6.44,2007
563,2,10,Clemson,Oklahoma,,,,,No Upset,Michigan,B10,21.0,112.2,97.5,62.5,0.014,108.5,97.1,0.63,2009
