,Round,Seed,Opp_1,Opp_2,Opp_3,Opp_4,Opp_5,Opp_6,Final Rd,Team,Conf,W,AdjO,AdjD,AdjT,Luck,OppO,OppD,Non-Conf SOS,Year
665,1,5,Montana,,,,,,Upset,Nevada,WAC,27.0,110.0,94.8,65.8,0.024,103.6,101.7,3.89,2006
666,2,7,Creighton,Memphis,,,,,No Upset,Nevada,WAC,29.0,117.2,101.2,66.3,0.03,104.2,102.2,1.53,2007
667,1,12,Iowa State,,,,,,No Upset,Nevada,MWC,28.0,114.6,101.3,69.7,0.055,104.5,103.2,-1.12,2017
668,3,7,Texas,Cincinnati,Loyola (IL),,,,Upset,Nevada,MWC,29.0,120.2,101.8,69.4,-0.026,107.0,101.8,3.61,2018
669,1,7,Florida,,,,,,Upset,Nevada,MWC,29.0,114.0,95.9,69.3,0.033,105.4,103.9,1.79,2019
670,1,12,Villanova,,,,,,No Upset,New Mexico,MWC,26.0,112.8,97.3,65.4,-0.002,103.4,103.9,-10.69,2005
671,2,3,Montana,Washington,,,,,Upset,New Mexico,MWC,30.0,113.6,97.4,67.4,0.096,105.0,100.9,1.85,2010
672,2,5,Long Beach State,Louisville,,,,,No Upset,New Mexico,MWC,28.0,110.8,91.4,65.5,0.003,103.9,101.3,-4.16,2012
673,1,3,Harvard,,,,,,Upset,New Mexico,MWC,29.0,109.9,90.9,63.7,0.073,106.4,98.4,4.42,2013
674,1,7,Stanford,,,,,,Upset,New Mexico,MWC,27.0,113.5,96.3,64.4,0.032,107.7,102.9,3.24,2014
675,1,13,Texas,,,,,,No Upset,New Mexico St.,WAC,25.0,108.3,101.1,69.7,0.035,104.2,104.5,-3.75,2007
676,1,12,Michigan State,,,,,,No Upset,New Mexico St.,WAC,22.0,111.6,105.5,70.3,0.122,105.8,101.7,2.09,2010
677,1,13,Indiana,,,,,,No Upset,New Mexico St.,WAC,26.0,109.3,98.1,69.4,-0.041,103.4,104.3,-0.87,2012
678,1,13,Saint Louis,,,,,,No Upset,New Mexico St.,WAC,24.0,104.7,97.1,63.8,0.039,102.7,102.3,3.94,2013
679,1,13,San Diego State,,,,,,No Upset,New Mexico St.,WAC,26.0,112.9,102.4,65.2,-0.03,103.0,106.7,2.6,2014
680,1,15,Kansas,,,,,,No Upset,New Mexico St.,WAC,23.0,107.4,100.8,63.0,-0.042,101.1,106.5,1.78,2015
681,1,14,Baylor,,,,,,No Upset,New Mexico St.,WAC,28.0,110.5,102.6,67.9,0.063,101.0,105.6,-4.82,2017
682,1,12,Clemson,,,,,,No Upset,New Mexico St.,WAC,28.0,107.9,95.0,68.5,0.027,104.0,105.4,3.7,2018
683,1,12,Auburn,,,,,,No Upset,New Mexico St.,WAC,30.0,113.0,99.3,65.9,0.042,102.8,106.2,-3.22,2019
684,2,12,Connecticut,Arkansas,,,,,No Upset,New Mexico St.,WAC,27.0,107.1,96.5,66.1,0.085,102.5,101.3,3.48,2022
685,1,14,Oklahoma,,,,,,No Upset,Niagara,MAAC,20.0,115.2,109.8,70.1,-0.027,101.3,104.8,0.83,2005
686,1,16,Kansas,,,,,,No Upset,Niagara,MAAC,23.0,107.2,110.0,68.3,0.118,101.3,107.5,-5.19,2007
687,2,15,Missouri,Florida,,,,,No Upset,Norfolk St.,MEAC,26.0,100.9,102.7,66.6,0.189,100.3,106.6,1.39,2012
688,1,16,Gonzaga,,,,,,No Upset,Norfolk St.,MEAC,17.0,99.1,103.6,67.5,0.09,98.1,105.2,-0.76,2021
689,1,16,Baylor,,,,,,No Upset,Norfolk St.,MEAC,24.0,102.1,102.6,66.8,0.128,95.5,105.5,-4.18,2022
690,2,6,Air Force,Texas,,,,,No Upset,North Carolina,ACC,19.0,117.4,94.1,70.9,-0.091,110.2,96.4,2.76,2004
691,7,1,Oakland,Iowa State,Villanova,Wisconsin,Michigan State,Illinois,No Upset,North Carolina,ACC,33.0,122.5,89.7,73.1,0.011,108.7,97.1,4.26,2005
692,2,3,Murray State,George Mason,,,,,Upset,North Carolina,ACC,23.0,115.9,93.7,70.2,-0.01,107.6,98.6,-0.83,2006
693,4,1,Eastern Kentucky,Michigan State,USC,Georgetown,,,Upset,North Carolina,ACC,31.0,121.0,89.6,72.4,-0.046,111.0,100.1,3.1,2007
694,5,1,Mount St. Mary's,Arkansas,Washington State,Louisville,Kansas,,No Upset,North Carolina,ACC,36.0,122.1,91.9,72.5,0.05,108.0,97.8,1.5,2008
695,7,1,Radford,LSU,Gonzaga,Oklahoma,Villanova,Michigan State,Upset,North Carolina,ACC,34.0,123.2,92.1,72.9,-0.011,108.2,98.3,1.06,2009
696,4,2,LIU Brooklyn,Washington,Marquette,Kentucky,,,Upset,North Carolina,ACC,29.0,111.8,89.6,70.6,0.064,109.9,98.8,6.01,2011
697,4,1,Vermont,Creighton,Ohio,Kansas,,,Upset,North Carolina,ACC,32.0,116.1,90.7,70.9,0.016,107.2,99.8,1.89,2012
698,2,8,Villanova,Kansas,,,,,No Upset,North Carolina,ACC,25.0,112.2,95.1,69.6,0.038,106.6,98.0,-0.95,2013
699,2,6,Providence,Iowa State,,,,,No Upset,North Carolina,ACC,24.0,112.6,94.2,69.2,0.0,110.5,101.6,1.31,2014
700,3,4,Harvard,Arkansas,Wisconsin,,,,No Upset,North Carolina,ACC,26.0,119.1,95.3,69.2,-0.026,111.1,98.3,7.64,2015
701,6,1,Florida Gulf Coast,Providence,Indiana,Notre Dame,Syracuse,Villanova,Upset,North Carolina,ACC,33.0,124.4,94.6,70.5,-0.055,111.7,100.2,3.13,2016
702,7,1,Texas Southern,Arkansas,Butler,Kentucky,Oregon,Gonzaga,No Upset,North Carolina,ACC,33.0,120.7,92.5,71.3,0.037,112.0,99.5,3.87,2017
703,2,2,Lipscomb,Texas A&M,,,,,Upset,North Carolina,ACC,26.0,120.3,96.7,71.2,-0.011,111.6,98.3,7.58,2018
704,3,1,Iona,Washington,Auburn,,,,Upset,North Carolina,ACC,29.0,119.7,92.0,74.3,0.024,110.7,98.1,5.69,2019
705,1,8,Wisconsin,,,,,,Upset,North Carolina,ACC,18.0,110.3,91.7,71.5,-0.005,110.9,96.1,8.2,2021
706,6,8,Marquette,Baylor,UCLA,Saint Peter's,Duke,Kansas,No Upset,North Carolina,ACC,29.0,114.4,94.3,70.2,0.072,109.0,99.1,3.79,2022
707,1,16,Louisville,,,,,,No Upset,North Carolina A&T,MEAC,20.0,93.2,98.5,65.5,0.037,97.2,104.2,-1.55,2013
708,1,14,Iowa State,,,,,,No Upset,North Carolina Central,MEAC,28.0,108.6,100.7,62.3,0.04,98.1,108.5,-1.94,2014
709,1,15,Arizona,,,,,,No Upset,North Dakota,BSky,22.0,103.6,103.5,71.5,0.048,103.0,108.6,3.24,2017
710,1,14,Kansas,,,,,,No Upset,North Dakota St.,Sum,26.0,114.3,102.0,67.5,-0.009,103.1,104.7,2.21,2009
711,2,12,Oklahoma,San Diego State,,,,,No Upset,North Dakota St.,Sum,26.0,115.5,103.7,62.3,0.089,106.8,105.4,5.32,2014
712,1,15,Gonzaga,,,,,,No Upset,North Dakota St.,Sum,23.0,103.8,102.4,60.8,0.105,102.9,107.1,-5.5,2015
713,1,16,Duke,,,,,,No Upset,North Dakota St.,Sum,19.0,107.4,110.6,65.0,0.064,104.8,107.6,3.23,2019
714,1,15,Memphis,,,,,,No Upset,North Texas,SB,23.0,103.0,104.0,69.1,0.034,102.2,108.6,-2.88,2007
715,1,15,Kansas State,,,,,,No Upset,North Texas,SB,24.0,103.4,103.8,67.4,0.113,99.9,105.7,-2.96,2010
716,2,13,Purdue,Villanova,,,,,No Upset,North Texas,CUSA,18.0,106.7,95.0,62.7,-0.018,105.0,98.6,6.16,2021
717,1,14,Notre Dame,,,,,,No Upset,Northeastern,CAA,23.0,108.3,103.1,63.3,0.025,104.5,105.7,1.8,2015
718,1,13,Kansas,,,,,,No Upset,Northeastern,CAA,23.0,111.0,103.4,66.2,0.05,106.3,106.9,6.45,2019
719,1,15,San Diego State,,,,,,No Upset,Northern Colorado,BSky,21.0,106.3,102.2,66.6,0.023,102.4,104.8,2.87,2011
720,1,14,Georgia Tech,,,,,,No Upset,Northern Iowa,MVC,21.0,107.4,98.6,64.8,0.022,103.9,101.4,-1.91,2004
721,1,11,Wisconsin,,,,,,No Upset,Northern Iowa,MVC,21.0,112.2,98.9,64.5,-0.035,105.8,100.3,1.09,2005
722,1,10,Georgetown,,,,,,No Upset,Northern Iowa,MVC,23.0,109.0,93.1,59.6,-0.025,104.4,98.2,0.24,2006
723,1,12,Purdue,,,,,,No Upset,Northern Iowa,MVC,23.0,110.6,100.9,60.8,0.051,104.7,101.6,1.88,2009
724,3,9,UNLV,Kansas,Michigan State,,,,No Upset,Northern Iowa,MVC,30.0,109.6,90.8,58.9,0.034,105.7,101.6,-1.58,2010
725,2,5,Wyoming,Louisville,,,,,No Upset,Northern Iowa,MVC,31.0,116.3,95.3,58.2,0.018,104.4,103.0,0.61,2015
726,2,11,Texas,Texas A&M,,,,,No Upset,Northern Iowa,MVC,23.0,109.6,98.5,62.9,0.013,106.1,101.3,7.57,2016
727,1,15,Kentucky,,,,,,No Upset,Northern Kentucky,Horz,24.0,106.8,104.9,68.0,0.073,102.9,106.3,-2.55,2017
728,1,14,Texas Tech,,,,,,No Upset,Northern Kentucky,Horz,26.0,109.4,102.3,68.2,-0.001,103.6,107.0,-2.57,2019
729,2,8,Vanderbilt,Gonzaga,,,,,No Upset,Northwestern,B10,24.0,111.3,95.5,65.6,0.019,109.0,100.7,-3.23,2017
730,2,14,Iowa,West Virginia,,,,,No Upset,Northwestern St.,Slnd,26.0,106.6,99.1,67.6,0.016,102.2,103.6,10.25,2006
731,1,14,Florida,,,,,,No Upset,Northwestern St.,Slnd,23.0,106.6,103.8,71.9,0.075,99.6,103.2,8.11,2013
732,2,8,Charlotte,Duke,,,,,No Upset,Notre Dame,BE,21.0,116.1,96.8,68.6,-0.087,105.4,98.1,-1.55,2002
733,3,5,Milwaukee,Illinois,Arizona,,,,No Upset,Notre Dame,BE,24.0,116.5,96.2,69.2,0.009,107.4,96.3,3.78,2003
734,1,6,Winthrop,,,,,,Upset,Notre Dame,BE,24.0,118.1,98.1,70.7,-0.018,105.9,101.9,-13.12,2007
735,2,5,George Mason,Washington State,,,,,No Upset,Notre Dame,BE,25.0,114.6,95.6,69.5,0.042,107.5,100.6,-7.02,2008
736,1,6,Old Dominion,,,,,,Upset,Notre Dame,BE,23.0,119.4,101.7,62.4,-0.068,106.5,100.2,-9.08,2010
737,2,2,Akron,Florida State,,,,,Upset,Notre Dame,BE,27.0,120.9,97.7,63.1,0.074,108.2,98.3,-3.83,2011
738,1,7,Xavier,,,,,,Upset,Notre Dame,BE,22.0,110.9,96.7,60.2,0.032,106.4,99.4,-4.28,2012
739,1,7,Iowa State,,,,,,Upset,Notre Dame,BE,25.0,114.6,97.9,60.3,0.046,105.1,98.6,-6.61,2013
740,4,3,Northeastern,Butler,Wichita State,Kentucky,,,No Upset,Notre Dame,ACC,32.0,125.4,100.4,63.4,0.062,107.7,100.1,-11.62,2015
741,4,6,Michigan,Stephen F. Austin,Wisconsin,North Carolina,,,No Upset,Notre Dame,ACC,24.0,120.6,104.0,64.6,0.054,111.3,100.5,-1.64,2016
742,2,5,Princeton,West Virginia,,,,,No Upset,Notre Dame,ACC,26.0,118.1,98.4,67.0,0.024,110.1,99.8,-3.85,2017
743,2,11,Alabama,Texas Tech,,,,,No Upset,Notre Dame,ACC,24.0,112.4,97.2,65.6,0.017,107.1,99.3,2.7,2022
744,1,16,North Carolina,,,,,,No Upset,Oakland,MCon,13.0,108.1,109.3,65.2,-0.022,105.2,103.2,14.37,2005
745,1,14,Pittsburgh,,,,,,No Upset,Oakland,Sum,26.0,107.5,104.3,69.5,0.173,101.6,104.4,10.65,2010
746,1,13,Texas,,,,,,No Upset,Oakland,Sum,25.0,118.6,105.3,71.1,0.021,106.0,104.0,14.82,2011
747,1,13,Florida,,,,,,No Upset,Ohio,MAC,21.0,109.8,101.5,65.7,0.042,104.9,102.2,-4.24,2005
748,2,14,Georgetown,Tennessee,,,,,No Upset,Ohio,MAC,22.0,107.3,99.0,68.8,-0.068,103.1,102.3,-0.9,2010
749,3,13,Michigan,South Florida,North Carolina,,,,No Upset,Ohio,MAC,29.0,106.6,94.7,66.0,0.022,103.6,102.8,-2.97,2012
750,2,13,Virginia,Creighton,,,,,No Upset,Ohio,MAC,17.0,111.4,100.9,69.2,0.031,106.1,100.9,1.2,2021
751,2,4,Davidson,Missouri,,,,,Upset,Ohio St.,B10,24.0,116.4,96.6,66.8,0.005,106.6,99.1,-1.26,2002
752,2,2,Davidson,Georgetown,,,,,Upset,Ohio St.,B10,26.0,113.0,92.3,65.2,0.028,107.0,100.3,-3.33,2006
753,6,1,Central Connecticut State,Xavier,Tennessee,Memphis,Georgetown,Florida,No Upset,Ohio St.,B10,35.0,121.0,91.7,64.9,0.057,109.0,99.2,-1.71,2007
754,1,8,Siena,,,,,,Upset,Ohio St.,B10,22.0,113.3,96.9,62.5,0.042,107.7,98.2,-3.41,2009
755,3,2,UC Santa Barbara,Georgia Tech,Tennessee,,,,Upset,Ohio St.,B10,29.0,117.5,92.5,64.6,0.007,106.3,98.4,-2.92,2010
756,3,1,UTSA,George Mason,Kentucky,,,,Upset,Ohio St.,B10,34.0,125.0,91.5,63.8,0.031,108.9,100.0,-4.08,2011
757,5,2,Loyola (MD),Gonzaga,Cincinnati,Syracuse,Kansas,,No Upset,Ohio St.,B10,31.0,118.1,88.1,66.9,-0.05,108.9,98.8,-3.34,2012
758,4,2,Iona,Iowa State,Arizona,Wichita State,,,Upset,Ohio St.,B10,29.0,115.1,89.7,63.6,0.02,107.3,97.1,-5.53,2013
759,1,6,Dayton,,,,,,Upset,Ohio St.,B10,25.0,109.3,88.0,64.0,-0.043,109.2,101.4,-3.36,2014
760,2,10,VCU,Arizona,,,,,No Upset,Ohio St.,B10,24.0,115.6,94.8,65.2,-0.043,108.1,101.4,-7.41,2015
761,2,5,South Dakota State,Gonzaga,,,,,No Upset,Ohio St.,B10,25.0,116.0,94.9,67.0,0.02,109.8,101.1,0.26,2018
762,2,11,Iowa State,Houston,,,,,No Upset,Ohio St.,B10,20.0,109.1,94.4,65.8,0.013,110.4,98.8,-2.95,2019
763,1,2,Oral Roberts,,,,,,Upset,Ohio St.,B10,21.0,120.7,97.1,66.7,-0.012,111.6,93.7,3.47,2021
764,2,7,Loyola (IL),Villanova,,,,,No Upset,Ohio St.,B10,20.0,115.5,99.3,65.0,-0.017,108.3,98.4,2.31,2022
765,5,2,Illinois-Chicago,Xavier,Arizona,Missouri,Indiana,,Upset,Oklahoma,B12,31.0,114.9,88.9,66.5,0.043,109.0,100.2,-0.45,2002
766,4,1,South Carolina State,California,Butler,Syracuse,,,Upset,Oklahoma,B12,27.0,112.1,89.1,62.7,0.034,106.7,97.7,-2.32,2003
767,2,3,Niagara,Utah,,,,,Upset,Oklahoma,B12,25.0,114.4,91.8,65.4,-0.006,107.5,99.8,0.09,2005
768,1,6,Milwaukee,,,,,,Upset,Oklahoma,B12,20.0,113.0,99.0,62.4,0.049,105.5,99.3,-0.61,2006
769,2,6,Saint Joseph's,Louisville,,,,,No Upset,Oklahoma,B12,23.0,109.5,95.1,63.1,0.077,108.3,98.9,-0.55,2008
770,4,2,Morgan State,Michigan,Syracuse,North Carolina,,,No Upset,Oklahoma,B12,30.0,118.3,93.7,66.6,0.018,108.3,98.9,0.46,2009
771,1,10,San Diego State,,,,,,No Upset,Oklahoma,B12,20.0,111.1,97.3,65.2,0.004,106.4,98.6,2.47,2013
772,1,5,North Dakota State,,,,,,Upset,Oklahoma,B12,23.0,117.9,100.0,69.6,-0.022,110.2,101.0,0.5,2014
773,3,3,Albany (NY),Dayton,Michigan State,,,,Upset,Oklahoma,B12,24.0,112.5,89.7,66.7,-0.045,110.2,99.2,1.05,2015
774,5,2,Cal State Bakersfield,VCU,Texas A&M,Oregon,Villanova,,No Upset,Oklahoma,B12,29.0,117.9,94.1,69.8,0.082,111.5,98.5,2.7,2016
775,1,10,Rhode Island,,,,,,No Upset,Oklahoma,B12,18.0,114.6,100.5,75.5,-0.008,111.3,99.6,2.13,2018
776,2,9,Mississippi,Virginia,,,,,No Upset,Oklahoma,B12,20.0,111.1,94.1,68.6,0.023,110.3,97.1,7.44,2019
777,2,8,Missouri,Gonzaga,,,,,No Upset,Oklahoma,B12,16.0,112.1,95.1,67.1,-0.025,109.5,95.2,1.93,2021
778,1,7,Kent State,,,,,,Upset,Oklahoma St.,B12,23.0,107.9,92.1,66.0,0.047,107.8,100.7,0.53,2002
779,2,6,Penn,Syracuse,,,,,No Upset,Oklahoma St.,B12,22.0,105.9,88.2,66.7,0.003,106.3,97.2,-1.17,2003
780,5,2,Eastern Washington,Memphis,Pittsburgh,Saint Joseph's,Georgia Tech,,Upset,Oklahoma St.,B12,31.0,118.5,91.1,64.8,0.029,107.7,100.1,-5.55,2004
781,3,2,Southeastern Louisiana,Southern Illinois,Arizona,,,,Upset,Oklahoma St.,B12,26.0,121.2,96.2,66.2,-0.015,108.0,98.4,5.03,2005
782,2,8,Tennessee,Pittsburgh,,,,,No Upset,Oklahoma St.,B12,23.0,116.4,98.1,69.3,-0.003,108.8,98.4,-0.28,2009
783,1,7,Georgia Tech,,,,,,Upset,Oklahoma St.,B12,22.0,112.2,95.4,66.2,0.011,107.2,98.7,-4.33,2010
784,1,5,Oregon,,,,,,Upset,Oklahoma St.,B12,24.0,109.0,90.3,66.1,-0.016,106.8,100.4,-2.26,2013
785,1,9,Gonzaga,,,,,,No Upset,Oklahoma St.,B12,21.0,115.9,95.0,67.2,-0.11,109.9,100.8,-1.15,2014
786,1,9,Oregon,,,,,,No Upset,Oklahoma St.,B12,18.0,111.8,96.8,63.3,-0.045,108.2,97.8,-1.65,2015
787,1,10,Michigan,,,,,,No Upset,Oklahoma St.,B12,20.0,126.0,103.5,70.4,-0.071,112.0,97.6,3.07,2017
788,2,4,Liberty,Oregon State,,,,,Upset,Oklahoma St.,B12,21.0,109.6,90.7,72.4,0.038,111.1,95.6,5.81,2021
789,1,12,Michigan State,,,,,,No Upset,Old Dominion,CAA,28.0,104.7,94.6,66.4,0.049,101.0,104.2,-3.98,2005
790,1,12,Butler,,,,,,No Upset,Old Dominion,CAA,24.0,108.6,95.9,65.8,0.013,105.6,104.8,0.64,2007
791,2,11,Notre Dame,Baylor,,,,,No Upset,Old Dominion,CAA,27.0,107.8,90.3,62.6,0.009,105.0,101.9,6.16,2010
792,1,9,Butler,,,,,,No Upset,Old Dominion,CAA,27.0,110.0,95.4,60.4,0.059,105.2,102.8,2.76,2011
793,1,14,Purdue,,,,,,No Upset,Old Dominion,CUSA,26.0,101.4,96.0,64.5,0.058,102.5,104.7,-6.06,2019
794,1,16,Memphis,,,,,,No Upset,Oral Roberts,MCon,21.0,107.1,101.4,66.9,-0.035,102.8,106.2,6.88,2006
795,1,14,Washington State,,,,,,No Upset,Oral Roberts,MCon,23.0,107.1,98.7,66.5,-0.007,104.9,105.8,4.23,2007
796,1,13,Pittsburgh,,,,,,No Upset,Oral Roberts,Sum,24.0,104.7,94.5,63.6,0.032,105.4,105.4,8.75,2008
797,3,15,Ohio State,Florida,Arkansas,,,,No Upset,Oral Roberts,Sum,18.0,109.3,104.4,71.4,0.023,105.2,101.1,22.06,2021
798,4,2,Montana,Wake Forest,Texas,Kansas,,,No Upset,Oregon,P10,26.0,119.2,96.3,71.1,-0.041,108.1,99.9,-3.3,2002
799,1,8,Utah,,,,,,Upset,Oregon,P10,23.0,111.4,97.1,71.2,0.032,105.1,99.8,-4.45,2003
800,4,3,Miami (OH),Winthrop,UNLV,Florida,,,No Upset,Oregon,P10,29.0,118.3,97.6,66.0,0.031,108.0,100.8,-9.09,2007
801,1,9,Mississippi State,,,,,,No Upset,Oregon,P10,18.0,118.8,103.1,65.8,-0.035,108.9,98.4,0.11,2008
802,3,12,Oklahoma State,Saint Louis,Louisville,,,,No Upset,Oregon,P12,28.0,106.6,89.8,67.9,0.052,105.1,99.2,-8.08,2013
803,2,7,BYU,Wisconsin,,,,,No Upset,Oregon,P12,24.0,118.9,99.9,67.5,-0.037,109.1,101.8,-1.18,2014
804,2,8,Oklahoma State,Wisconsin,,,,,No Upset,Oregon,P12,26.0,115.2,101.3,66.6,0.119,108.4,101.1,-2.34,2015
805,4,1,Holy Cross,Saint Joseph's,Duke,Oklahoma,,,Upset,Oregon,P12,31.0,119.1,96.4,68.1,0.041,109.0,100.0,1.04,2016
806,5,3,Iona,Rhode Island,Michigan,Kansas,North Carolina,,No Upset,Oregon,P12,33.0,118.2,93.2,67.0,0.034,109.2,101.2,0.51,2017
807,3,12,Wisconsin,UC Irvine,Virginia,,,,No Upset,Oregon,P12,25.0,109.5,91.7,64.2,-0.048,107.7,102.3,0.43,2019
808,3,7,VCU,Iowa,USC,,,,No Upset,Oregon,P12,21.0,117.2,95.4,67.2,0.049,110.6,95.4,3.72,2021
809,1,7,VCU,,,,,,Upset,Oregon St.,P12,19.0,110.7,99.1,67.1,0.043,109.8,100.2,0.46,2016
810,4,12,Tennessee,Oklahoma State,Loyola (IL),Houston,,,No Upset,Oregon St.,P12,20.0,112.1,95.7,65.5,0.072,111.2,94.5,-4.52,2021
811,2,12,Providence,Kansas,,,,,No Upset,Pacific,BW,25.0,108.6,99.7,63.6,0.096,103.4,103.1,3.56,2004
812,2,8,Pittsburgh,Washington,,,,,No Upset,Pacific,BW,27.0,114.5,100.5,63.6,0.091,103.1,102.4,1.74,2005
813,1,13,Boston College,,,,,,No Upset,Pacific,BW,24.0,109.8,99.0,62.8,0.01,102.7,104.7,0.54,2006
814,1,15,Miami (FL),,,,,,No Upset,Pacific,BW,22.0,106.1,102.2,62.2,0.074,104.2,103.3,9.06,2013
815,1,11,California,,,,,,No Upset,Penn,Ivy,25.0,110.2,98.0,65.6,-0.019,101.9,104.3,0.99,2002
816,1,11,Oklahoma State,,,,,,No Upset,Penn,Ivy,22.0,110.3,96.9,63.3,0.035,100.4,101.9,3.49,2003
817,1,13,Boston College,,,,,,No Upset,Penn,Ivy,20.0,102.1,92.5,68.2,0.034,101.8,103.5,3.31,2005
818,1,15,Texas,,,,,,No Upset,Penn,Ivy,20.0,101.8,94.5,64.3,-0.03,100.0,105.0,1.85,2006
819,1,14,Texas A&M,,,,,,No Upset,Penn,Ivy,22.0,109.8,102.1,67.9,0.047,102.5,105.3,1.14,2007
820,1,16,Kansas,,,,,,No Upset,Penn,Ivy,24.0,103.1,99.4,68.9,0.076,103.7,107.8,-2.98,2018
821,1,10,Temple,,,,,,No Upset,Penn St.,B10,19.0,113.1,98.3,59.4,0.037,110.7,98.3,-0.62,2011
822,1,10,Wake Forest,,,,,,No Upset,Pepperdine,WCC,21.0,111.1,99.3,72.4,0.061,105.7,101.7,11.94,2002
823,3,3,Central Connecticut State,California,Kent State,,,,Upset,Pittsburgh,BE,29.0,112.1,92.2,63.8,0.0,103.7,100.6,-12.06,2002
824,3,2,Wagner,Indiana,Marquette,,,,Upset,Pittsburgh,BE,28.0,114.8,86.2,64.7,-0.023,105.5,98.4,-8.24,2003
825,3,3,UCF,Wisconsin,Oklahoma State,,,,No Upset,Pittsburgh,BE,31.0,114.1,88.2,59.7,-0.028,106.4,100.5,-8.2,2004
826,1,9,Pacific,,,,,,No Upset,Pittsburgh,BE,20.0,114.8,96.3,64.0,-0.057,106.3,100.7,-10.09,2005
827,2,5,Kent State,Bradley,,,,,Upset,Pittsburgh,BE,25.0,112.4,90.6,64.6,-0.031,108.0,100.1,-6.92,2006
828,3,3,Wright State,VCU,UCLA,,,,No Upset,Pittsburgh,BE,29.0,118.1,95.2,62.2,0.033,109.6,100.1,0.72,2007
829,2,4,Oral Roberts,Michigan State,,,,,Upset,Pittsburgh,BE,27.0,116.5,96.6,63.9,0.027,107.8,98.3,-1.69,2008
830,4,1,East Tennessee State,Oklahoma State,Xavier,Villanova,,,Upset,Pittsburgh,BE,31.0,121.2,92.3,65.2,-0.012,108.1,98.0,0.79,2009
831,2,3,Oakland,Xavier,,,,,Upset,Pittsburgh,BE,25.0,111.4,92.8,61.3,0.041,107.7,99.8,-2.76,2010
832,2,1,UNC Asheville,Butler,,,,,Upset,Pittsburgh,BE,28.0,120.6,93.5,61.8,-0.023,107.6,99.4,-3.68,2011
833,1,8,Wichita State,,,,,,Upset,Pittsburgh,BE,24.0,115.6,91.5,59.3,-0.058,104.9,100.4,-9.69,2013
834,2,9,Colorado,Florida,,,,,No Upset,Pittsburgh,ACC,26.0,116.9,95.0,62.2,-0.038,108.0,100.4,-3.66,2014
835,1,10,Wisconsin,,,,,,No Upset,Pittsburgh,ACC,21.0,114.9,98.3,65.3,-0.011,110.8,101.7,-7.02,2016
836,1,16,Kansas,,,,,,No Upset,Portland St.,BSky,23.0,108.6,103.2,66.3,0.062,102.7,106.2,3.95,2008
837,1,13,Xavier,,,,,,No Upset,Portland St.,BSky,23.0,109.2,105.1,64.8,0.025,101.5,104.8,-0.0,2009
838,1,14,Texas,,,,,,No Upset,Princeton,Ivy,20.0,106.3,101.4,56.4,0.033,100.2,104.6,-0.07,2004
839,1,13,Kentucky,,,,,,No Upset,Princeton,Ivy,25.0,107.2,98.1,62.6,0.091,104.0,104.7,0.33,2011
840,1,12,Notre Dame,,,,,,No Upset,Princeton,Ivy,23.0,109.0,96.4,63.2,0.007,103.9,105.0,2.17,2017
841,1,5,Pacific,,,,,,Upset,Providence,BE,20.0,112.3,93.9,65.0,0.003,107.9,99.1,4.05,2004
842,1,11,North Carolina,,,,,,No Upset,Providence,BE,23.0,114.6,100.8,62.9,0.051,109.2,100.8,0.81,2014
843,1,6,Dayton,,,,,,Upset,Providence,BE,22.0,112.6,95.9,65.2,0.038,109.7,99.4,2.18,2015
844,2,9,USC,North Carolina,,,,,No Upset,Providence,BE,24.0,110.0,95.5,68.4,0.062,109.5,100.6,-3.13,2016
845,1,10,Texas A&M,,,,,,No Upset,Providence,BE,21.0,108.9,96.7,67.1,0.074,111.6,101.1,-1.38,2018
846,3,4,South Dakota State,Richmond,Kansas,,,,No Upset,Providence,BE,27.0,111.5,95.6,65.2,0.164,106.7,99.0,0.26,2022
847,2,9,LSU,Texas,,,,,No Upset,Purdue,B10,19.0,107.0,89.6,69.3,-0.012,107.6,98.0,4.87,2003
848,2,9,Arizona,Florida,,,,,No Upset,Purdue,B10,22.0,110.7,92.4,66.5,0.002,109.8,100.4,1.08,2007
849,2,6,Baylor,Xavier,,,,,No Upset,Purdue,B10,25.0,110.5,92.2,66.9,-0.025,106.2,99.7,-3.61,2008
850,3,5,Northern Iowa,Washington,Connecticut,,,,No Upset,Purdue,B10,27.0,110.5,88.7,65.9,-0.012,107.2,98.3,-5.45,2009
851,3,4,Siena,Texas A&M,Duke,,,,No Upset,Purdue,B10,29.0,109.8,87.7,66.2,0.07,107.8,99.0,-1.26,2010
852,2,3,Saint Peter's,VCU,,,,,Upset,Purdue,B10,26.0,115.9,91.1,66.0,0.007,108.8,98.7,1.21,2011
853,2,10,Saint Mary's (CA),Kansas,,,,,No Upset,Purdue,B10,22.0,116.2,99.9,64.3,-0.003,108.4,99.6,-2.64,2012
854,1,9,Cincinnati,,,,,,No Upset,Purdue,B10,21.0,110.9,97.0,64.3,-0.006,109.0,101.6,-2.75,2015
855,1,5,Arkansas Little Rock,,,,,,Upset,Purdue,B10,26.0,116.9,93.1,67.9,-0.046,109.1,101.7,-2.67,2016
856,3,4,Vermont,Iowa State,Kansas,,,,No Upset,Purdue,B10,27.0,117.0,93.9,69.1,0.016,109.6,100.6,-2.38,2017
